species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Torgersen,39.1,18.7,181,3750,male
Adelie,Torgersen,39.5,17.4,186,3800,female
Adelie,Torgersen,40.3,18.0,195,3250,female
Adelie,Torgersen,36.7,19.3,193,3450,female
Adelie,Torgersen,39.3,20.6,190,3650,male
Adelie,Dream,38.9,17.8,181,3625,female
Adelie,Dream,39.2,19.6,195,4675,male
Adelie,Dream,34.1,18.1,193,3475,female
Adelie,Dream,42.0,20.2,190,4250,male
Adelie,Dream,37.8,17.1,186,3300,female
Adelie,Biscoe,37.7,18.7,180,3600,male
Adelie,Biscoe,35.9,19.2,189,3800,female
Adelie,Biscoe,38.2,18.1,185,3950,male
Adelie,Biscoe,40.6,18.6,183,3550,female
Chinstrap,Dream,46.5,17.9,192,3500,female
Chinstrap,Dream,50.0,19.5,196,3900,male
Chinstrap,Dream,51.3,19.2,193,3650,male
Chinstrap,Dream,45.4,18.7,188,3525,female
Chinstrap,Dream,52.7,19.8,197,3725,male
Chinstrap,Dream,45.2,17.8,198,3950,female
Chinstrap,Dream,46.1,18.2,178,3250,female
Chinstrap,Dream,51.3,18.2,197,3750,male
Chinstrap,Dream,46.0,18.9,195,4150,female
Chinstrap,Dream,51.7,20.3,194,3775,male
Chinstrap,Dream,47.0,17.3,185,3700,female
Chinstrap,Dream,52.0,18.1,201,4050,male
Gentoo,Biscoe,46.1,13.2,211,4500,female
Gentoo,Biscoe,50.0,16.3,230,5700,male
Gentoo,Biscoe,48.7,14.1,210,4450,female
Gentoo,Biscoe,49.2,15.2,221,5300,male
Gentoo,Biscoe,47.3,15.3,222,5250,male
Gentoo,Biscoe,46.8,14.3,215,4850,female
Gentoo,Biscoe,49.9,16.1,213,5400,male
Gentoo,Biscoe,45.5,13.7,214,4650,female
Gentoo,Biscoe,50.8,15.7,226,5200,male
Gentoo,Biscoe,43.5,14.2,220,4700,female
Gentoo,Biscoe,51.1,16.5,225,5450,male
Gentoo,Biscoe,48.4,14.6,213,4625,female
Gentoo,Biscoe,49.5,15.7,221,5650,male
Gentoo,Biscoe,44.5,14.3,216,4100,female
